id,Company_name,Drug_company,Drug_name,Quantity
765,Realcube,7-Eleven,7 Select Pink Bismuth,75
766,Fivespan,Sancilio & Company Inc,Ludent,30
767,Rooxo,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Paroxetine,20
768,Ntags,A-S Medication Solutions LLC,Adipex-P,21
769,Topicblab,"Bolero Home Decor, Inc.","Disney Antibacterial Hand Wipes - PRINCESS, CARS, MINNIE",67
770,Fivebridge,"Airgas Northern California and Nevada, Inc.",Air,88
771,Mudo,American Health Packaging,Lisinopril,97
772,Youfeed,AstraZeneca Pharmaceuticals LP,ZESTRIL,28
773,Yamia,Lake Erie Medical DBA Quality Care Products LLC,Morphine Sulfate,85
774,Jaxnation,"Deb USA, Inc.",Astound Antibac,18
775,Bluezoom,"Antigen Laboratories, Inc.",Treatment Set TS346889,24
776,Myworks,"NATURE REPUBLIC CO., LTD.",RED GINSENG FERMENTED ESSENCE BB,68
777,Twinte,Sandoz Inc,Repaglinide,48
778,Rhycero,Barr Laboratories Inc.,Dextroamphetamine Sulfate,2
779,Linklinks,Eight and Company,Sprayology Body Skin Tonic,41
780,Quaxo,Guna spa,GUNA-HYPERTENSION,37
781,Miboo,RITE AID CORPORATION,Rite Aid,70
782,Devshare,"Antigen Laboratories, Inc.",Brussels Sprout,59
783,Eire,"American Regent, Inc.",Atropine Sulfate,13
784,Meeveo,"Chattem, Inc.",ACT Total Care Dry Mouth Anticavity Mouth,89
785,Wikizz,"AvKARE, Inc.",Buspirone Hydrochloride,30
786,Fanoodle,"Napoleon Perdis Cosmetics, Inc",napoleon PERDIS ADVANCED MINERAL MAKEUP BROAD SPECTRUM SPF 15 Look 1,69
787,Jabberbean,REMEDYREPACK INC.,Lisinopril,7
788,Eimbee,AvPAK,Amlodipine Besylate,59
789,Quaxo,ARMY AND AIR FORCE EXCHANGE SERVICE,Extra Strength Pain Reliever,42
790,Eabox,"Mallinckrodt, Inc.",ACETAMINOPHEN AND CODEINE PHOSPHATE,35
791,Dablist,"Colgate Oral Pharmaceuticals, Inc.",Colgate,42
792,Twinte,Washington Homeopathic Products,Diarrhea,73
793,Tazzy,"Lupin Pharmaceuticals, Inc.",Tramadol Hydrochloride,84
794,Rhyzio,"Ascend Laboratories, LLC",Hydrocortisone Acetate,30
795,Teklist,Walgreen Company,Hemorrhoidal,60
796,Pixoboo,RunGuards LLC,Run Guard Sensitive,79
797,Gabtune,American Health Packaging,Tacrolimus,74
798,Yamia,Reckitt Benckiser LLC,Cepacol,80
799,Jaxspan,REMEDYREPACK INC.,Benztropine Mesylate,37
800,Livepath,Massco Dental A Division of Dunagin Pharmaceuticals,ORTHO GUARD,99
801,Voomm,H.E.B,Childrens Allergy,59
802,Meeveo,Laboratoires Clarins S.A.,CLARINS Skin Illusion SPF 10 Natural Radiance Foundation Tint 113,2
803,Kwideo,Uriel Pharmacy Inc.,Berberis Urtica,1
804,Oodoo,"21st Century Homeopathics, Inc",CENTURY 21 HEAVY METAL DETOX,28
805,Wikizz,"GOJO Industries, Inc.",Purell Advanced Hand Sanitizer Inspiring Island Getaway,69
806,Twitterbeat,REMEDYREPACK INC.,Amlodipine Besylate,50
807,Roomm,Mission Hills S.A de C.V,Colgate Optic White,9
808,Mudo,REMEDYREPACK INC.,NAPROXEN,39
809,Meezzy,"PD-Rx Pharmaceuticals, Inc.",Hydrocortisone,81
810,Photobean,PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,DR. RECKEWEG R43 Herbamine,7
811,Edgewire,Ventura International LTD.,LBEL COULEUR LUXE AMPLIFIER XP,56
812,Linkbridge,"ALK-Abello, Inc.",CENTER-AL - AMBROSIA ACANTHICARPA POLLEN,46
813,Trudoo,Sandoz Inc,Cromolyn Sodium,9
814,Yata,Greenbrier International,Daily Moisturizing - Oatmeal,15
815,Devbug,Uriel Pharmacy Inc.,Renes Veratrum,72
816,Mita,"Nelco Laboratories, Inc.",Peppermint,86
817,Voonyx,Rebel Distributors Corp,Xolox,30
818,Skyvu,Apotex Corp.,Olanzapine,14
819,Kare,Supervalu Inc,equaline antacid,97
820,Browsezoom,"Antigen Laboratories, Inc.",Maple Pollen Mixture,58
821,Chatterbridge,CVS Pharmacy,pain relief,91
822,Blogtag,"Hospira, Inc.",Lidocaine Hydrochloride,9
823,Izio,Greenstone LLC,Amlodipine besylate and Atorvastatin calcium,71
824,Quimm,Beiersdorf,Nivea a Kiss of recovery,24
825,Voonyx,L. Perrigo Company,good sense aspirin,91
826,Twitterwire,Apotex Corp.,PAROXETINE,52
827,Thoughtmix,Aurobindo Pharma Limited,RISPERIDONE,68
828,Linkbuzz,Andalou naturals,Andalou BB Untinted with SPF-30,79
829,Zoombeat,Wal-Mart Stores Inc.,Hand Sanitizer,11
830,Kanoodle,"BioActive Nutritional, Inc.",Weed and Grass Antigen,78
831,Jetpulse,"Nartex Laboratorios Homeopaticos, S.A. De C.V.",APETYL,99
832,Skibox,"Nelco Laboratories, Inc.",Pineapple,5
833,Linkbridge,"Physicians Total Care, Inc.",Trimethobenzamide Hydrochloride,8
834,Oyondu,Henry Scein Inc,Lidocaine,81
835,Kamba,"MEIJER, INC.",MEIJER COLD AND HOT THERAPY,97
836,Mydo,SHISEIDO AMERICAS CORPORATION,SHISEIDO UV PROTECTIVE FOUNDATION,42
837,Photolist,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,triamcinolone acetonide,99
838,Linktype,Kinray Inc.,Preferred Plus Pharmacy 3 percent Hydrogen Peroxide Wipes,26
839,Blognation,Cardinal Health,Doxazosin,71
840,Yakitri,REMEDYREPACK INC.,Furosemide,94
841,Vimbo,"Nelco Laboratories, Inc.",Candida albicans,12
842,Lazzy,Unifirst First Aid Corporation,MEDI-FIRST Non-Aspirin,96
843,Mydo,Clinical Solutions Wholesale,Ranitidine,47
844,Jaloo,Mylan Pharmaceuticals Inc.,Valsartan and Hydrochlorothiazide,78
845,Trupe,"Elcure Co., Ltd.",ELCURE AC-LEX Serum,15
846,Zooveo,Hyland's,PULSATILLA NIG,41
847,Jabbertype,AvPAK,Topiramate,75
848,Jatri,JMD All Star Impex Inc.,Cold Rub,16
849,Tagopia,REMEDYREPACK INC.,METFORMIN HYDROCHLORIDE,19
850,Photospace,Beiersdorf Inc,Nivea body Natural Tone,58
851,Dabvine,"FDN Enterprises, LLC",Classic Care Apricot Scrub,46
852,Quaxo,"Bare Escentuals Beauty, Inc.",Buxom Show Some Skin Weightless Foundation Broad Spectrum SPF 30,66
853,Zoombox,Upsher-Smith Laboratories Inc.,Midodrine Hydrochloride,96
854,Photolist,"ALK-Abello, Inc.",CANIS LUPUS FAMILIARIS SKIN,65
855,Buzzshare,"Carestream Health, Inc.",Zorcaine,25
856,Jaloo,STAT RX USA LLC,ZYDONE,29
857,Gigaclub,"Physicians Total Care, Inc.",IMITREX,30
858,Oyope,Dynarex Corporation,"bacitracin zinc, neomycin sulfate and polymyxin b sulfate",35
859,Rhynyx,"Actavis Pharma, Inc.",Trelstar,37
860,Kwinu,Mylan Pharmaceuticals Inc.,Eszopiclone,79
861,Gabvine,"Santarus, Inc.",Glumetza,29
862,Zoomdog,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",Betamethasone,87
863,Zazio,"Physicians Total Care, Inc.",Junel 1.5/30,98
864,Zooveo,Theochem Laboratories Inc,Theochem White Tea Hand and Body Wash,69
865,Quatz,Major Pharmaceuticals,Omeprazole,94
866,Flashdog,"BioActive Nutritional, Inc.",Serotonin,49
867,Eazzy,Sagent Pharmaceticals,Heparin Sodium,30
868,Oyoloo,"ALK-Abello, Inc.",ACER RUBRUM POLLEN,22
869,Browsedrive,Jouer Cosmetics LLC,MATTE MOISTURE TINT SUNSCREEN BROAD SPECTRUM SPF 15,76
870,Trupe,DUDLEY WELLNESS COMPANY INC,Mr Dudleys Topical Pain Relief,38
871,Thoughtsphere,"Hospira, Inc.",Naloxone Hydrochloride,4
872,Gigazoom,Novartis Pharmaceuticals Corporation,Myfortic,8
873,Devcast,Freds Inc,Anti-Diarrheal,96
874,Thoughtblab,NeoStrata Company Inc.,Exuviance CoverBlend Skin Caring Foundation,39
875,Eazzy,King Bio Inc.,Mental Alertness for Seniors,64
876,Photobug,Bare Escentuals Beauty Inc.,Ready Foundation,39
877,Skibox,"Natural Creations, Inc.",FIBROMYALGIA HP,43
878,Fivebridge,"Airgas Southwest, Inc.",Oxygen,87
879,Jatri,Carilion Materials Management,Ergocalciferol,79
880,Shufflebeat,"TONYMOLY CO., LTD.",Intense Care Snail,91
881,Oyondu,CVS Pharmacy,CVS Pharmacy Daytime Severe Cough and Cold,45
882,Livefish,"Preferred Pharmaceuticals, Inc",Levothyroxine Sodium,91
883,Talane,YVES ROCHER NORTH AMERICA INC,ANTISEPTIC HAND GEL,40
884,Ntags,Wakefern Food Corporation,ShopRite Childrens Multi Symptom Cold Relief,54
885,Kwideo,Purdue Pharma LP,OxyContin,84
886,Yadel,"ALK-Abello, Inc.",TRICHOPHYTON MENTAGROPHYTES,95
887,Miboo,Contract Pharmacy Services-PA,Doxepin Hydrochloride,36
888,Eazzy,Landy International,Bodycology,33
889,DabZ,Uriel Pharmacy Inc.,Aconitum Belladonna,95
890,Ooba,"PD-Rx Pharmaceuticals, Inc.",Naltrexone Hydrochloride,80
891,Eayo,"Camellix, LLC",AVERTEAX,81
892,Aibox,Ecolab Inc.,Keystone Liquid Hand Sanitizer,6
893,Realpoint,"Fera Pharmaceuticals, LLC",GENTAMICIN SULFATE,15
894,Thoughtbridge,"APP Pharmaceuticals, LLC",Ifosfamide,18
895,Buzzshare,Good Neighbor Pharmacy,Childrens Acetaminophen Cherry,16
896,Dablist,"Vitality Works, Inc.",Sweep,50
897,Jetwire,Pfizer Laboratories Div Pfizer Inc,Vistaril,32
898,Youfeed,Mylan Institutional Inc.,Metoprolol Succinate,64
899,Centizu,DZA Brands LLC,Healthy Accents hemorrhoidal,33
900,Vidoo,SHISEIDO AMERICA INC.,SHISEIDO THE MAKEUP LIFTING FOUNDATION,92
901,Skynoodle,Parfums Christian Dior,CD DiorSkin Forever Compact Flawless Perfection Fusion Wear Makeup SPF 25 - 040,38
902,Demizz,Cardinal Health (Leader) 49781,All Day Pain Relief,61
903,Kare,RedPharm Drug Inc.,Cefdinir,2
904,Brightbean,"KVK-Tech, Inc.",Hydroxyzine Hydrochloride,67
905,Skajo,Clinical Solutions Wholesale,Amlodipine Besylate and Benazepril Hydrochloride,40
906,Skinix,"Nelco Laboratories, Inc.",Cocklebur,14
907,Roodel,American Health Packaging,Hydrocodone Bitartrate and Acetaminophen,17
908,Zoovu,"APP Pharmaceuticals, LLC",Polocaine-MPF,60
909,Eayo,Sagent Pharmaceuticals,Ceftazidime,46
910,Yakitri,International Beauty Exchange,Idole Skin Lightening,1
911,Skibox,"Allergan, Inc.",OZURDEX,67
912,Shufflebeat,"AvKARE, Inc.",MIDODRINE HYDROCHLORIDE,1
913,Youfeed,Chemco Corporation,FAST RELIEF ARTROSAMIN,63
914,Cogilith,"Physicians Total Care, Inc.",Montelukast Sodium,15
915,Blogtag,WOCKHARDT LIMITED,RANITIDINE,29
916,Jabberbean,American Sales Company,CAREONE,4
917,Mymm,"Physicians Total Care, Inc.",Elmiron,68
918,Zoomlounge,"ALK-Abello, Inc.",MEDICAGO SATIVA POLLEN,27
919,Blogtags,Cardinal Health,Citalopram Hydrobromide,85
920,Roodel,Mission Hills S.A de C.V,Colgate Max Clean,59
921,Photobean,"Fenwal, Inc.",CPDA-1,15
922,Skippad,Heritage Pharmaceuticals Inc.,Cetirizine hydrochloride,81
923,Meeveo,BluePoint Laboratories,Escitalopram,29
924,Yoveo,"BioActive Nutritional, Inc.",Estrogen,70
925,Skilith,H E B,night time,64
926,Tagfeed,"Hospira, Inc.",Potassium Chloride in Dextrose and Sodium Chloride,75
927,Oyondu,WIZCOZ CORPORATION LTD,SuperPlus Beblesh Balm SPF25 PA 2Plus,52
928,Voonix,Faria LLC dba Sheffield Pharmaceuticals,Sheffield Triple Antibiotic,48
929,Blognation,"Prime Packaging, Inc.",Australian Gold,98
930,Skynoodle,Nordan Smith Welding Supply,Nitrogen,74
931,Photobean,"MPM Medical, Inc.",REGENECARE HA,7
932,Voonix,AbbVie Inc.,Moderiba,92
933,Dazzlesphere,"Watson Laboratories, Inc.",ipratropium bromide and albuterol sulfate,90
934,Skibox,Topco Associates LLC,Topcare mucus er,4
935,Feednation,HOMEOLAB USA INC,KIDS RELIEF ARNICA,80
936,Cogidoo,"Best Sanitizers, Inc",Smart San Alcohol Free Hand Sanitizer Foam,70
937,Jabbersphere,"Liddell Laboratories, Inc.",Vital Weight Loss,62
938,Jazzy,Cardinal Health,LANOXIN,6
939,Myworks,Apotex Corp.,DILTIAZEM HYDROCHLORIDE,84
940,Roodel,L'Oreal USA Products Inc,La Roche Posay Laboratoire Dermatologique Effaclar Clarifying,32
941,Mycat,"Physicians Total Care, Inc.",Moexipril Hydrochloride,30
942,Digitube,Mary Kay Inc.,Mary Kay Tinted Lip Balm Sunscreen SPF 15 Rose,40
943,Shuffledrive,"Global Pharmaceuticals, Division of Impax Laboratories Inc.",Rimantadine Hydrochloride,67
944,Voonix,"GOJO Industries, Inc.",Purell Advanced Refreshing Aloe,55
945,Ailane,"Henry Schein, Inc.",Benzo-Jel,60
946,Muxo,Lake Erie Medical DBA Quality Care Products LLC,New Terocin,81
947,Livepath,Remedy Makers,ARNICA MONTANA WHOLE PLANT,69
948,Photobean,Neutrogena Corporation,Neutrogena Clear Face Break-Out Free Sunscreen,51
949,Livetube,Rebel Distributors Corp.,AK-Con,8
950,Realfire,"Onset Dermatologics, LLC",Minocin,86
951,Tanoodle,"Gilead Sciences, Inc.",Viread,53
952,Feedspan,P and L Development of New York Corporation (ReadyInCase),Ibuprofen,26
953,Zoozzy,"Nelco Laboratories, Inc.",Annual Blue Grass,77
954,Eabox,DermWorx Incorporated,MoistureWorx,7
955,Ooba,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,Amitriptyline Hydrochloride,80
956,Bluejam,"Libertas Pharma, Inc.",Acarbose,72
957,InnoZ,Mission Pharmacal Company,Dr Smiths Diaper Rash,30
958,Skinder,"Novocol Pharmaceutical of Canada, Inc.",Lidocaine,17
959,Gabspot,"IVAX Pharmaceuticals, Inc.",Ranitidine,48
960,Brainbox,Wise Woman Herbals,Vag Pack,51
961,Rhyloo,"Lupin Pharmaceuticals, Inc.",SIMVASTATIN,14
962,Quire,Mylan Institutional Inc.,Repaglinide,38
963,Oyonder,Hannaford Brothers Company,nicotine,77
964,Dabtype,Bryant Ranch Prepack,SEROQUEL,93
965,Chatterpoint,"Physicians Total Care, Inc.",Neomycin and Polymyxin B Sulfates and Bacitracin Zinc with Hydrocortisone Acetate,23
966,Youopia,Power Unit Toothbrush Inc,In-7-One,43
967,Skyble,"Kadmon Pharmaceuticals, LLC",Anastrozole,31
968,Fivebridge,Sandoz Inc.,Levothyroxine sodium,62
969,Tagcat,SHISEIDO AMERICA INC.,SHISEIDO THE SKINCARE TINTED MOISTURE PROTECTION,74
970,Brainsphere,Richmond Division of Wyeth,CHILDRENS ROBITUSSIN COUGH AND COLD LONG-ACTING,4
971,Quire,Cardinal Health,COLAZAL,50
972,Vipe,"Nelco Laboratories, Inc.",Horse Fly,44
973,Photobug,HOMEOLAB USA INC.,PODOPHYLLUM PELTATUM,38
974,Mudo,Best Choice,Milk of Magnesia Original,64
975,Flipstorm,Bryant Ranch Prepack,PreNatal Vitamins Plus,29
976,Kwideo,"AMI Cosmetic Co.,Ltd.",OVERNIGHT PORE TIGHTENER,20
977,Mynte,Accord Healthcare Inc.,DOCETAXEL,85
978,Topdrive,Aidarex Pharmaceuticals LLC,Ondansetron,54
979,Divape,"MAGNA Pharmaceuticals, Inc.",Stahist AD,35
980,Babbleset,Triad Group,Triadine Scrub,63
981,Gigazoom,"THEFACESHOP CO., LTD.",PHYTOGENIC INFINITE MAKEUP BASE,78
982,Avavee,MAKEUP ART COSMETICS,LIGHTFUL C SPF 30 WITH RADIANCE BOOSTER BROAD SPECTRUM SPF 30,94
983,Blogtags,"Newton Laboratories, Inc.",Fever Infection,12
984,Oba,Cipla Limited,Sertraline Hydrochloride,30
985,Demimbu,"Aaron Industries, Inc.",Cough Relief,87
986,Zoomdog,sanofi-aventis U.S. LLC,Lovenox,97
987,Aimbo,Supervalu Inc,equaline clearlax,18
988,Tavu,Greenstone LLC,quinapril hydrochloride and hydrochlorothiazide,20
989,Mycat,"Newton Laboratories, Inc.",Tobacco Withdrawal,39
990,Brainsphere,WEGMANS FOOD MARKETS INC,ANTIBACTERIAL,74
991,Blogtags,Bryant Ranch Prepack,Clonidine Hydrochloride,55
992,Blogpad,Aurobindo Pharma Limited,Metformin Hydrochloride,41
993,Mydo,"Golden State Medical Supply, Inc.",Lisinopril and Hydrochlorothiazide,91
994,Bubblemix,Legacy Pharmaceutical Packaging,Metoprolol Tartrate,99
995,Agivu,Unit Dose Services,Tizanidine,29
996,DabZ,Meijer Distribution Inc,antacid,66
997,Teklist,Rebel Distributors Corp.,ZALEPLON,47
998,Realfire,Cardinal Health,Promethazine Hydrochloride,54
999,Photobug,"AMI Cosmetic Co.,Ltd.",SEAWEED MEDICLEAR MASK,2
1000,Jabbercube,Small World Trading Company,EO HAND SANITIZER,21
